1 2 3
1 3 4
1 4 5
1 12 13
1 15 16
1 19 20
1 22 23
1 24 25
1 31 32
1 33 34
1 34 35
1 35 36
2 1 14
2 1 9
2 1 41
2 1 15
2 1 17
2 1 18
2 1 16
2 1 13
2 48 42
2 48 43
2 48 45
2 48 41
2 48 44
2 8 16
2 8 17
2 8 9
2 8 15
2 8 14
2 8 18
2 8 41
2 8 13
2 30 42
2 30 44
2 30 41
2 30 43
2 30 45
2 47 10
2 40 43
2 40 45
2 40 42
2 40 44
2 40 41
2 28 46
2 28 46
3 38 39
3 19 20
3 22 23
3 8 12
3 8 11
3 31 32
3 21 29
3 37 39
3 2 5
3 24 25
3 33 36
3 6 12
3 7 11
3 26 27
