1 2 3
1 3 4
1 19 20
1 20 21
1 21 22
1 22 23
1 23 24
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 33 34
1 34 35
1 35 36
1 38 39
1 39 40
1 40 41
1 41 42
1 42 43
1 43 44
1 44 45
1 53 54
1 54 55
1 55 56
1 56 57
1 57 58
1 58 59
1 59 46
1 46 47
1 47 48
1 48 49
1 49 50
1 50 51
1 51 52
1 74 75
1 75 76
1 76 77
1 89 90
1 90 91
1 91 92
1 92 93
1 99 100
1 100 101
1 101 102
1 102 103
1 103 104
1 104 105
1 105 106
1 106 107
2 60 53
2 60 12
2 60 53
2 60 13
2 60 53
2 89 94
2 62 13
2 62 53
2 62 53
2 62 53
2 62 13
2 62 12
2 61 12
2 61 13
2 61 53
2 61 13
2 61 53
2 61 53
2 19 24
2 38 13
2 38 13
2 37 53
2 37 13
2 37 12
2 37 53
2 37 53
2 37 13
2 9 13
2 9 12
2 9 13
2 27 13
2 27 13
2 27 53
2 27 53
2 27 12
2 27 53
2 28 13
2 28 13
2 7 72
2 7 71
2 7 8
2 111 98
2 67 68
2 64 70
2 64 8
2 110 8
2 26 13
2 26 15
2 26 10
2 26 12
2 26 25
2 26 17
2 26 16
2 26 13
2 109 108
2 99 107
2 97 98
2 65 70
2 65 8
2 65 68
2 65 69
2 66 8
2 81 71
2 81 72
2 79 71
2 79 72
3 60 52
3 2 4
3 89 93
3 62 52
3 87 85
3 61 52
3 80 96
3 80 95
3 88 86
3 38 45
3 78 5
3 37 52
3 73 5
3 9 14
3 27 52
3 82 84
3 28 30
3 74 77
3 26 11
3 26 14
3 81 83
3 81 84
3 63 84
4 83 1
4 4 6
4 36 18
4 86 6
