1 2 3
1 3 4
1 4 5
1 5 6
1 6 7
1 12 13
1 14 15
1 15 16
1 16 17
1 17 18
1 18 19
1 19 20
1 35 36
1 36 37
2 47 49
2 47 44
2 47 41
2 47 49
2 47 40
2 47 42
2 48 44
2 48 40
2 14 20
2 14 38
2 14 40
2 14 38
2 34 42
2 34 41
2 34 44
2 26 44
2 26 41
2 26 42
2 9 49
2 9 42
2 9 49
2 9 44
2 9 40
2 9 41
2 1 38
2 1 38
2 1 42
2 1 44
2 1 40
2 1 41
2 29 41
2 29 42
2 29 44
2 2 44
2 2 39
2 2 7
2 2 39
2 2 7
2 33 41
2 33 42
2 33 44
2 30 44
2 30 41
2 30 42
2 8 42
2 8 44
2 8 41
2 31 44
2 31 41
2 31 42
2 28 42
2 28 41
2 28 44
2 32 44
2 32 42
2 32 41
2 46 42
2 46 41
2 46 44
2 45 40
2 24 37
2 24 35
2 24 44
2 24 35
2 24 41
2 24 35
2 24 42
2 11 44
2 22 44
2 22 37
2 22 42
2 22 35
2 22 35
2 22 41
2 22 35
2 21 44
2 21 42
2 21 41
3 56 54
3 34 50
3 34 43
3 26 50
3 26 43
3 1 50
3 1 43
3 1 51
3 29 50
3 29 43
3 27 52
3 33 50
3 33 43
3 30 50
3 30 43
3 31 50
3 31 43
3 28 50
3 28 43
3 32 50
3 32 43
3 55 54
3 12 13
3 23 51
3 24 51
3 11 52
3 22 51
3 21 50
3 21 43
3 10 52
3 25 51
4 53 47
5 54 55
5 52 45
