1 2 3
1 6 7
1 33 34
1 54 57
1 57 58
1 58 59
1 59 60
1 60 61
1 61 62
1 62 63
1 63 64
1 64 55
1 55 56
1 68 69
1 72 78
1 78 79
1 79 80
1 80 81
1 81 82
1 82 83
1 83 84
1 84 85
1 85 73
1 73 74
1 74 75
1 75 76
1 76 77
2 1 3
2 1 5
2 1 3
2 1 5
2 89 93
2 40 93
3 31 29
3 26 24
3 18 16
3 49 48
3 86 87
3 65 66
3 22 24
3 50 51
3 14 16
3 47 48
3 68 69
3 54 56
3 33 34
3 19 20
3 6 7
3 72 77
3 39 42
3 39 41
3 27 29
3 28 29
3 23 24
3 15 16
3 1 2
3 89 71
3 40 45
4 71 4
4 69 44
4 53 35
4 56 43
4 53 67
4 77 90
4 69 52
4 87 13
4 53 70
4 34 21
4 66 12
4 69 37
4 7 92
4 34 17
4 7 91
4 53 32
4 69 67
4 24 12
4 34 25
4 41 46
4 56 49
4 42 9
4 69 8
4 16 10
4 34 30
4 69 38
4 20 11
4 48 88
4 29 13
4 51 35
4 56 88
4 69 36
