1 2 3
1 4 5
1 10 17
1 17 18
1 18 19
1 19 20
1 20 21
1 21 22
1 22 23
1 23 24
1 24 11
1 11 12
1 12 13
1 13 14
1 14 15
1 15 16
1 25 36
1 36 39
1 39 40
1 40 41
1 41 42
1 42 43
1 43 44
1 44 45
1 45 26
1 26 27
1 27 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 33 34
1 34 35
1 35 37
1 37 38
1 48 59
1 59 70
1 70 81
1 81 92
1 92 96
1 96 97
1 97 98
1 98 99
1 99 49
1 49 50
1 50 51
1 51 52
1 52 53
1 53 54
1 54 55
1 55 56
1 56 57
1 57 58
1 58 60
1 60 61
1 61 62
1 62 63
1 63 64
1 64 65
1 65 66
1 66 67
1 67 68
1 68 69
1 69 71
1 71 72
1 72 73
1 73 74
1 74 75
1 75 76
1 76 77
1 77 78
1 78 79
1 79 80
1 80 82
1 82 83
1 83 84
1 84 85
1 85 86
1 86 87
1 87 88
1 88 89
1 89 90
1 90 91
1 91 93
1 93 94
1 94 95
1 100 101
2 10 16
2 10 7
2 10 9
2 10 47
2 10 16
2 10 9
2 25 31
2 25 47
2 25 7
2 25 38
2 25 9
2 25 9
2 48 95
2 1 8
2 46 46
2 4 5
3 102 6
3 4 5
3 2 3
3 100 101
