1 2 3
1 3 4
1 4 5
1 16 27
1 27 38
1 38 40
1 40 41
1 41 42
1 42 43
1 43 44
1 44 45
1 45 17
1 17 18
1 18 19
1 19 20
1 20 21
1 21 22
1 22 23
1 23 24
1 24 25
1 25 26
1 26 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 33 34
1 34 35
1 35 36
1 36 37
1 37 39
1 46 47
1 47 48
1 48 49
1 50 51
1 51 52
1 54 55
1 55 56
1 73 74
1 74 75
1 75 76
1 76 77
1 77 78
2 16 7
2 16 12
2 53 12
2 53 11
2 64 1
2 70 69
2 70 69
2 70 68
2 70 68
2 61 71
2 61 71
2 2 5
2 65 71
2 65 71
2 63 1
2 63 62
2 73 78
3 54 56
3 16 6
3 16 8
3 16 13
3 16 14
3 16 39
3 50 52
3 57 13
3 57 14
3 60 58
3 70 67
3 72 13
3 10 8
3 65 13
3 9 8
3 46 47
3 66 67
4 49 53
4 47 59
5 47 15
