1 2 3
1 4 5
1 7 14
1 14 15
1 15 16
1 16 17
1 17 18
1 18 19
1 19 20
1 20 21
1 21 8
1 8 9
1 9 10
1 10 11
1 11 12
1 12 13
1 22 33
1 33 44
1 44 55
1 55 66
1 66 77
1 77 82
1 82 83
1 83 84
1 84 23
1 23 24
1 24 25
1 25 26
1 26 27
1 27 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 34
1 34 35
1 35 36
1 36 37
1 37 38
1 38 39
1 39 40
1 40 41
1 41 42
1 42 43
1 43 45
1 45 46
1 46 47
1 47 48
1 48 49
1 49 50
1 50 51
1 51 52
1 52 53
1 53 54
1 54 56
1 56 57
1 57 58
1 58 59
1 59 60
1 60 61
1 61 62
1 62 63
1 63 64
1 64 65
1 65 67
1 67 68
1 68 69
1 69 70
1 70 71
1 71 72
1 72 73
1 73 74
1 74 75
1 75 76
1 76 78
1 78 79
1 79 80
1 80 81
1 85 86
2 1 6
2 22 81
2 4 5
3 7 13
3 4 5
3 2 3
3 85 86
