1 2 3
1 18 19
1 28 29
1 29 30
1 32 33
1 36 37
1 37 38
1 38 39
1 43 44
1 44 45
1 50 51
1 52 53
1 55 56
1 59 60
1 60 61
1 61 62
2 43 65
2 15 66
2 14 5
2 11 5
2 4 5
2 1 5
2 25 66
2 10 64
2 10 64
2 13 64
2 13 64
2 58 32
2 58 31
2 58 64
2 58 36
2 58 31
2 58 39
2 58 28
2 58 64
2 58 20
2 58 32
2 58 30
2 58 27
2 58 33
2 58 35
2 58 31
2 57 64
2 57 20
2 57 40
2 57 64
2 34 31
2 34 31
2 34 31
2 22 66
2 7 8
2 6 8
3 52 53
3 24 26
3 2 3
3 43 65
3 43 45
3 59 62
3 14 12
3 11 12
3 47 17
3 63 17
3 54 17
3 50 51
3 55 56
4 41 43
4 19 14
4 9 52
4 21 52
4 26 16
4 45 43
4 51 59
4 9 59
4 9 11
4 9 16
4 56 59
4 9 46
4 9 15
4 18 14
4 53 59
4 48 59
4 9 14
5 26 23
5 56 49
5 51 49
5 45 42
5 53 49
