1 2 3
1 3 4
1 5 6
1 6 7
1 7 8
1 10 11
1 11 12
1 13 19
1 19 20
1 20 21
1 21 22
1 22 23
1 23 24
1 24 25
1 25 26
1 26 14
1 14 15
1 15 16
1 16 17
1 17 18
1 30 31
1 31 32
1 32 33
1 33 34
1 34 35
1 35 36
1 37 48
1 48 59
1 59 65
1 65 66
1 66 67
1 67 68
1 68 69
1 69 70
1 70 38
1 38 39
1 39 40
1 40 41
1 41 42
1 42 43
1 43 44
1 44 45
1 45 46
1 46 47
1 47 49
1 49 50
1 50 51
1 51 52
1 52 53
1 53 54
1 54 55
1 55 56
1 56 57
1 57 58
1 58 60
1 60 61
1 61 62
1 62 63
1 63 64
1 72 73
1 73 74
1 75 76
1 76 77
1 78 79
1 79 80
1 82 83
1 83 84
1 84 85
1 92 93
1 93 94
1 96 97
1 97 98
1 100 101
1 101 102
1 102 103
2 72 74
2 71 86
2 71 86
2 13 80
2 13 87
2 13 86
2 13 86
2 13 77
2 13 78
2 13 75
2 13 28
2 13 77
2 13 80
2 30 86
2 30 86
2 5 8
2 91 107
2 1 86
2 1 77
2 1 86
2 1 75
2 1 77
3 72 82
3 72 81
3 37 64
3 71 81
3 13 82
3 13 18
3 100 105
3 100 103
3 30 36
3 1 27
3 96 98
3 2 4
3 92 94
3 10 12
3 95 106
3 88 90
3 9 108
4 99 37
4 36 104
4 27 37
4 29 37
4 112 37
4 64 110
4 103 89
4 85 111
4 109 110
