1 2 3
1 23 24
1 25 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 33 34
1 34 35
1 35 26
1 26 27
1 49 50
1 52 58
1 58 59
1 59 60
1 60 61
1 61 62
1 62 63
1 63 64
1 64 65
1 65 53
1 53 54
1 54 55
1 55 56
1 56 57
2 38 68
2 1 4
2 1 3
2 1 3
2 1 4
2 1 2
2 40 68
3 8 7
3 16 15
3 22 21
3 46 45
3 38 51
3 12 11
3 36 37
3 66 67
3 23 24
3 9 11
3 39 42
3 39 41
3 44 45
3 49 50
3 52 57
3 47 48
3 13 15
3 5 7
3 19 21
3 25 27
3 17 18
3 10 11
3 14 15
3 1 2
3 6 7
3 20 21
3 40 43
